run_number,percent_cohort2,cohort2_age,percent_grammar_1,eq_step,max_steps,eq_percent
9535,75,500,70,583,1000,0.583
9536,75,500,80,102,1000,0.102
9537,75,500,90,109,1000,0.109
9538,90,500,10,81,1000,0.081
9539,90,500,20,113,1000,0.113
9540,90,500,30,136,1000,0.136
9541,90,500,35,45,1000,0.045
9542,90,500,40,296,1000,0.296
9543,90,500,45,180,1000,0.18
9544,90,500,50,162,1000,0.162
9545,90,500,60,181,1000,0.181
9546,90,500,70,485,1000,0.485
9547,90,500,80,128,1000,0.128
9548,90,500,90,78,1000,0.078
9549,10,50,10,96,1000,0.096
9550,10,50,20,70,1000,0.07
9551,10,50,30,84,1000,0.084
9552,10,50,35,434,1000,0.434
9553,10,50,40,0,1000,0
9554,10,50,45,532,1000,0.532
9555,10,50,50,136,1000,0.136
9556,10,50,60,70,1000,0.07
9557,10,50,70,109,1000,0.109
9558,10,50,80,73,1000,0.073
9559,10,50,90,40,1000,0.04
9560,20,50,10,75,1000,0.075
9561,20,50,20,86,1000,0.086
9562,20,50,30,98,1000,0.098
9563,20,50,35,185,1000,0.185
9564,20,50,40,76,1000,0.076
9565,20,50,45,22,1000,0.022
9566,20,50,50,74,1000,0.074
9567,20,50,60,108,1000,0.108
9568,20,50,70,93,1000,0.093
9569,20,50,80,107,1000,0.107
9570,20,50,90,52,1000,0.052
9571,35,50,10,46,1000,0.046
9572,35,50,20,62,1000,0.062
9573,35,50,30,101,1000,0.101
9574,35,50,35,178,1000,0.178
9575,35,50,40,122,1000,0.122
9576,35,50,45,741,1000,0.741
9577,35,50,50,19,1000,0.019
9578,35,50,60,106,1000,0.106
9579,35,50,70,377,1000,0.377
9580,35,50,80,82,1000,0.082
9581,35,50,90,67,1000,0.067
9582,50,50,10,73,1000,0.073
9583,50,50,20,235,1000,0.235
9584,50,50,30,132,1000,0.132
9585,50,50,35,413,1000,0.413
9586,50,50,40,112,1000,0.112
9587,50,50,45,158,1000,0.158
9588,50,50,50,113,1000,0.113
9589,50,50,60,138,1000,0.138
9590,50,50,70,120,1000,0.12
9591,50,50,80,88,1000,0.088
9592,50,50,90,79,1000,0.079
9593,65,50,10,37,1000,0.037
9594,65,50,20,88,1000,0.088
9595,65,50,30,89,1000,0.089
9596,65,50,35,121,1000,0.121
9597,65,50,40,130,1000,0.13
9598,65,50,45,35,1000,0.035
9599,65,50,50,722,1000,0.722
9600,65,50,60,40,1000,0.04
9601,65,50,70,64,1000,0.064
9602,65,50,80,88,1000,0.088
9603,65,50,90,59,1000,0.059
9604,75,50,10,62,1000,0.062
9605,75,50,20,100,1000,0.1
9606,75,50,30,85,1000,0.085
9607,75,50,35,112,1000,0.112
9608,75,50,40,179,1000,0.179
9609,75,50,45,143,1000,0.143
9610,75,50,50,114,1000,0.114
9611,75,50,60,67,1000,0.067
9612,75,50,70,97,1000,0.097
9613,75,50,80,101,1000,0.101
9614,75,50,90,58,1000,0.058
9615,90,50,10,53,1000,0.053
9616,90,50,20,73,1000,0.073
9617,90,50,30,125,1000,0.125
9618,90,50,35,157,1000,0.157
9619,90,50,40,2,1000,0.002
9620,90,50,45,172,1000,0.172
9621,90,50,50,20,1000,0.02
9622,90,50,60,120,1000,0.12
9623,90,50,70,34,1000,0.034
9624,90,50,80,98,1000,0.098
9625,90,50,90,54,1000,0.054
9626,10,150,10,48,1000,0.048
9627,10,150,20,74,1000,0.074
9628,10,150,30,107,1000,0.107
9629,10,150,35,99,1000,0.099
9630,10,150,40,192,1000,0.192
9631,10,150,45,166,1000,0.166
9632,10,150,50,80,1000,0.08
9633,10,150,60,308,1000,0.308
9634,10,150,70,105,1000,0.105
9635,10,150,80,73,1000,0.073
9636,10,150,90,83,1000,0.083
9637,20,150,10,61,1000,0.061
9638,20,150,20,66,1000,0.066
9639,20,150,30,125,1000,0.125
9640,20,150,35,95,1000,0.095
9641,20,150,40,141,1000,0.141
9642,20,150,45,133,1000,0.133
9643,20,150,50,18,1000,0.018
9644,20,150,60,138,1000,0.138
9645,20,150,70,88,1000,0.088
9646,20,150,80,70,1000,0.07
9647,20,150,90,68,1000,0.068
9648,35,150,10,46,1000,0.046
9649,35,150,20,328,1000,0.328
9650,35,150,30,125,1000,0.125
9651,35,150,35,100,1000,0.1
9652,35,150,40,153,1000,0.153
9653,35,150,45,752,1000,0.752
9654,35,150,50,83,1000,0.083
9655,35,150,60,122,1000,0.122
9656,35,150,70,59,1000,0.059
9657,35,150,80,120,1000,0.12
9658,35,150,90,62,1000,0.062
9659,50,150,10,66,1000,0.066
9660,50,150,20,102,1000,0.102
9661,50,150,30,119,1000,0.119
9662,50,150,35,122,1000,0.122
9663,50,150,40,509,1000,0.509
9664,50,150,45,41,1000,0.041
9665,50,150,50,134,1000,0.134
9666,50,150,60,132,1000,0.132
9667,50,150,70,93,1000,0.093
9668,50,150,80,77,1000,0.077
9669,50,150,90,81,1000,0.081
9670,65,150,10,64,1000,0.064
9671,65,150,20,92,1000,0.092
9672,65,150,30,130,1000,0.13
9673,65,150,35,128,1000,0.128
9674,65,150,40,119,1000,0.119
9675,65,150,45,30,1000,0.03
9676,65,150,50,50,1000,0.05
9677,65,150,60,129,1000,0.129
9678,65,150,70,90,1000,0.09
9679,65,150,80,111,1000,0.111
9680,65,150,90,68,1000,0.068
9681,75,150,10,64,1000,0.064
9682,75,150,20,166,1000,0.166
9683,75,150,30,141,1000,0.141
9684,75,150,35,113,1000,0.113
9685,75,150,40,142,1000,0.142
9686,75,150,45,16,1000,0.016
9687,75,150,50,115,1000,0.115
9688,75,150,60,441,1000,0.441
9689,75,150,70,153,1000,0.153
9690,75,150,80,83,1000,0.083
9691,75,150,90,67,1000,0.067
9692,90,150,10,85,1000,0.085
9693,90,150,20,302,1000,0.302
9694,90,150,30,271,1000,0.271
9695,90,150,35,119,1000,0.119
9696,90,150,40,247,1000,0.247
9697,90,150,45,159,1000,0.159
9698,90,150,50,701,1000,0.701
9699,90,150,60,135,1000,0.135
9700,90,150,70,146,1000,0.146
9701,90,150,80,84,1000,0.084
9702,90,150,90,65,1000,0.065
9703,10,300,10,66,1000,0.066
9704,10,300,20,76,1000,0.076
9705,10,300,30,146,1000,0.146
9706,10,300,35,78,1000,0.078
9707,10,300,40,143,1000,0.143
9708,10,300,45,3,1000,0.003
9709,10,300,50,215,1000,0.215
9710,10,300,60,538,1000,0.538
9711,10,300,70,80,1000,0.08
9712,10,300,80,63,1000,0.063
9713,10,300,90,99,1000,0.099
9714,20,300,10,71,1000,0.071
9715,20,300,20,88,1000,0.088
9716,20,300,30,104,1000,0.104
9717,20,300,35,90,1000,0.09
9718,20,300,40,16,1000,0.016
9719,20,300,45,331,1000,0.331
9720,20,300,50,265,1000,0.265
9721,20,300,60,109,1000,0.109
9722,20,300,70,142,1000,0.142
9723,20,300,80,82,1000,0.082
9724,20,300,90,48,1000,0.048
9725,35,300,10,78,1000,0.078
9726,35,300,20,100,1000,0.1
9727,35,300,30,93,1000,0.093
9728,35,300,35,71,1000,0.071
9729,35,300,40,95,1000,0.095
9730,35,300,45,809,1000,0.809
9731,35,300,50,927,1000,0.927
9732,35,300,60,125,1000,0.125
9733,35,300,70,93,1000,0.093
9734,35,300,80,87,1000,0.087
9735,35,300,90,62,1000,0.062
9736,50,300,10,52,1000,0.052
9737,50,300,20,63,1000,0.063
9738,50,300,30,153,1000,0.153
9739,50,300,35,96,1000,0.096
9740,50,300,40,121,1000,0.121
9741,50,300,45,305,1000,0.305
9742,50,300,50,163,1000,0.163
9743,50,300,60,205,1000,0.205
9744,50,300,70,440,1000,0.44
9745,50,300,80,103,1000,0.103
9746,50,300,90,60,1000,0.06
9747,65,300,10,56,1000,0.056
9748,65,300,20,325,1000,0.325
9749,65,300,30,118,1000,0.118
9750,65,300,35,170,1000,0.17
9751,65,300,40,107,1000,0.107
9752,65,300,45,253,1000,0.253
9753,65,300,50,44,1000,0.044
9754,65,300,60,794,1000,0.794
9755,65,300,70,119,1000,0.119
9756,65,300,80,95,1000,0.095
9757,65,300,90,85,1000,0.085
9758,75,300,10,122,1000,0.122
9759,75,300,20,102,1000,0.102
9760,75,300,30,140,1000,0.14
9761,75,300,35,168,1000,0.168
9762,75,300,40,284,1000,0.284
9763,75,300,45,191,1000,0.191
9764,75,300,50,201,1000,0.201
9765,75,300,60,151,1000,0.151
9766,75,300,70,177,1000,0.177
9767,75,300,80,97,1000,0.097
9768,75,300,90,56,1000,0.056
9769,90,300,10,56,1000,0.056
9770,90,300,20,248,1000,0.248
9771,90,300,30,117,1000,0.117
9772,90,300,35,103,1000,0.103
9773,90,300,40,573,1000,0.573
9774,90,300,45,417,1000,0.417
9775,90,300,50,70,1000,0.07
9776,90,300,60,0,1000,0
9777,90,300,70,133,1000,0.133
9778,90,300,80,114,1000,0.114
9779,90,300,90,59,1000,0.059
9780,10,500,10,76,1000,0.076
9781,10,500,20,92,1000,0.092
9782,10,500,30,119,1000,0.119
9783,10,500,35,78,1000,0.078
9784,10,500,40,122,1000,0.122
9785,10,500,45,114,1000,0.114
9786,10,500,50,25,1000,0.025
9787,10,500,60,115,1000,0.115
9788,10,500,70,528,1000,0.528
9789,10,500,80,8,1000,0.008
9790,10,500,90,58,1000,0.058
