run_number,initial_gamma,age_sd,deterministic_age,eq_step,max_steps,eq_percent
146,0.01,30,FALSE,91,1000,0.091
147,0.01,30,FALSE,43,1000,0.043
148,0.01,30,FALSE,120,1000,0.12
149,0.01,30,FALSE,60,1000,0.06
150,0.01,30,FALSE,33,1000,0.033
151,0.01,30,FALSE,141,1000,0.141
152,0.01,30,FALSE,96,1000,0.096
153,0.01,30,FALSE,74,1000,0.074
154,0.01,30,FALSE,55,1000,0.055
155,0.01,50,TRUE,64,1000,0.064
156,0.01,50,TRUE,79,1000,0.079
157,0.01,50,TRUE,79,1000,0.079
158,0.01,50,TRUE,73,1000,0.073
159,0.01,50,TRUE,154,1000,0.154
160,0.01,50,TRUE,123,1000,0.123
161,0.01,50,TRUE,67,1000,0.067
162,0.01,50,TRUE,141,1000,0.141
163,0.01,50,TRUE,89,1000,0.089
164,0.01,50,TRUE,98,1000,0.098
165,0.01,50,TRUE,65,1000,0.065
166,0.01,50,FALSE,79,1000,0.079
167,0.01,50,FALSE,75,1000,0.075
168,0.01,50,FALSE,163,1000,0.163
169,0.01,50,FALSE,101,1000,0.101
170,0.01,50,FALSE,94,1000,0.094
171,0.01,50,FALSE,77,1000,0.077
172,0.01,50,FALSE,73,1000,0.073
173,0.01,50,FALSE,145,1000,0.145
174,0.01,50,FALSE,65,1000,0.065
175,0.01,50,FALSE,105,1000,0.105
176,0.01,50,FALSE,47,1000,0.047
177,0.01,100,TRUE,84,1000,0.084
178,0.01,100,TRUE,83,1000,0.083
179,0.01,100,TRUE,100,1000,0.1
180,0.01,100,TRUE,97,1000,0.097
181,0.01,100,TRUE,166,1000,0.166
182,0.01,100,TRUE,61,1000,0.061
183,0.01,100,TRUE,113,1000,0.113
184,0.01,100,TRUE,134,1000,0.134
185,0.01,100,TRUE,71,1000,0.071
186,0.01,100,TRUE,79,1000,0.079
187,0.01,100,TRUE,53,1000,0.053
188,0.01,100,FALSE,65,1000,0.065
189,0.01,100,FALSE,78,1000,0.078
190,0.01,100,FALSE,95,1000,0.095
191,0.01,100,FALSE,114,1000,0.114
192,0.01,100,FALSE,245,1000,0.245
193,0.01,100,FALSE,599,1000,0.599
194,0.01,100,FALSE,173,1000,0.173
195,0.01,100,FALSE,29,1000,0.029
196,0.01,100,FALSE,126,1000,0.126
197,0.01,100,FALSE,71,1000,0.071
198,0.01,100,FALSE,54,1000,0.054
199,0.01,30,TRUE,61,1000,0.061
200,0.01,30,TRUE,82,1000,0.082
201,0.01,30,TRUE,89,1000,0.089
202,0.01,30,TRUE,110,1000,0.11
203,0.01,30,TRUE,511,1000,0.511
204,0.01,30,TRUE,249,1000,0.249
205,0.01,30,TRUE,112,1000,0.112
206,0.01,30,TRUE,136,1000,0.136
207,0.01,30,TRUE,127,1000,0.127
208,0.01,30,TRUE,86,1000,0.086
209,0.01,30,TRUE,63,1000,0.063
210,0.01,30,FALSE,59,1000,0.059
211,0.01,30,FALSE,86,1000,0.086
212,0.01,30,FALSE,127,1000,0.127
213,0.01,30,FALSE,95,1000,0.095
214,0.01,30,FALSE,280,1000,0.28
215,0.01,30,FALSE,169,1000,0.169
216,0.01,30,FALSE,9,1000,0.009
217,0.01,30,FALSE,146,1000,0.146
218,0.01,30,FALSE,290,1000,0.29
219,0.01,30,FALSE,49,1000,0.049
220,0.01,30,FALSE,53,1000,0.053
221,0.01,50,TRUE,52,1000,0.052
222,0.01,50,TRUE,80,1000,0.08
223,0.01,50,TRUE,88,1000,0.088
224,0.01,50,TRUE,89,1000,0.089
225,0.01,50,TRUE,118,1000,0.118
226,0.01,50,TRUE,41,1000,0.041
227,0.01,50,TRUE,15,1000,0.015
228,0.01,50,TRUE,157,1000,0.157
229,0.01,50,TRUE,107,1000,0.107
230,0.01,50,TRUE,69,1000,0.069
231,0.01,50,TRUE,56,1000,0.056
232,0.01,50,FALSE,57,1000,0.057
233,0.01,50,FALSE,117,1000,0.117
234,0.01,50,FALSE,109,1000,0.109
235,0.01,50,FALSE,74,1000,0.074
236,0.01,50,FALSE,173,1000,0.173
237,0.01,50,FALSE,114,1000,0.114
238,0.01,50,FALSE,94,1000,0.094
239,0.01,50,FALSE,164,1000,0.164
240,0.01,50,FALSE,66,1000,0.066
241,0.01,50,FALSE,67,1000,0.067
242,0.01,50,FALSE,52,1000,0.052
243,0.01,100,TRUE,50,1000,0.05
244,0.01,100,TRUE,77,1000,0.077
245,0.01,100,TRUE,82,1000,0.082
246,0.01,100,TRUE,3,1000,0.003
247,0.01,100,TRUE,48,1000,0.048
248,0.01,100,TRUE,70,1000,0.07
249,0.01,100,TRUE,107,1000,0.107
250,0.01,100,TRUE,634,1000,0.634
251,0.01,100,TRUE,103,1000,0.103
252,0.01,100,TRUE,76,1000,0.076
253,0.01,100,TRUE,57,1000,0.057
254,0.01,100,FALSE,50,1000,0.05
255,0.01,100,FALSE,67,1000,0.067
256,0.01,100,FALSE,85,1000,0.085
257,0.01,100,FALSE,95,1000,0.095
258,0.01,100,FALSE,20,1000,0.02
259,0.01,100,FALSE,93,1000,0.093
260,0.01,100,FALSE,151,1000,0.151
261,0.01,100,FALSE,111,1000,0.111
262,0.01,100,FALSE,114,1000,0.114
263,0.01,100,FALSE,83,1000,0.083
264,0.01,100,FALSE,98,1000,0.098
265,0.01,30,TRUE,41,1000,0.041
266,0.01,30,TRUE,89,1000,0.089
267,0.01,30,TRUE,109,1000,0.109
268,0.01,30,TRUE,95,1000,0.095
269,0.01,30,TRUE,290,1000,0.29
270,0.01,30,TRUE,6,1000,0.006
271,0.01,30,TRUE,2,1000,0.002
272,0.01,30,TRUE,37,1000,0.037
273,0.01,30,TRUE,83,1000,0.083
274,0.01,30,TRUE,67,1000,0.067
275,0.01,30,TRUE,59,1000,0.059
276,0.01,30,FALSE,57,1000,0.057
277,0.01,30,FALSE,90,1000,0.09
278,0.01,30,FALSE,91,1000,0.091
279,0.01,30,FALSE,132,1000,0.132
280,0.01,30,FALSE,105,1000,0.105
281,0.01,30,FALSE,136,1000,0.136
282,0.01,30,FALSE,3,1000,0.003
283,0.01,30,FALSE,177,1000,0.177
284,0.01,30,FALSE,98,1000,0.098
285,0.01,30,FALSE,73,1000,0.073
286,0.01,30,FALSE,64,1000,0.064
287,0.01,50,TRUE,46,1000,0.046
288,0.01,50,TRUE,70,1000,0.07
289,0.01,50,TRUE,93,1000,0.093
290,0.01,50,TRUE,149,1000,0.149
291,0.01,50,TRUE,10,1000,0.01
292,0.01,50,TRUE,329,1000,0.329
293,0.01,50,TRUE,145,1000,0.145
294,0.01,50,TRUE,93,1000,0.093
295,0.01,50,TRUE,119,1000,0.119
296,0.01,50,TRUE,74,1000,0.074
297,0.01,50,TRUE,49,1000,0.049
298,0.01,50,FALSE,44,1000,0.044
299,0.01,50,FALSE,81,1000,0.081
300,0.01,50,FALSE,107,1000,0.107
301,0.01,50,FALSE,105,1000,0.105
302,0.01,50,FALSE,88,1000,0.088
303,0.01,50,FALSE,265,1000,0.265
304,0.01,50,FALSE,184,1000,0.184
305,0.01,50,FALSE,161,1000,0.161
306,0.01,50,FALSE,95,1000,0.095
307,0.01,50,FALSE,165,1000,0.165
308,0.01,50,FALSE,58,1000,0.058
309,0.01,100,TRUE,40,1000,0.04
310,0.01,100,TRUE,70,1000,0.07
311,0.01,100,TRUE,98,1000,0.098
312,0.01,100,TRUE,45,1000,0.045
313,0.01,100,TRUE,370,1000,0.37
314,0.01,100,TRUE,237,1000,0.237
315,0.01,100,TRUE,118,1000,0.118
316,0.01,100,TRUE,75,1000,0.075
317,0.01,100,TRUE,217,1000,0.217
318,0.01,100,TRUE,88,1000,0.088
319,0.01,100,TRUE,80,1000,0.08
320,0.01,100,FALSE,75,1000,0.075
321,0.01,100,FALSE,117,1000,0.117
322,0.01,100,FALSE,132,1000,0.132
323,0.01,100,FALSE,269,1000,0.269
324,0.01,100,FALSE,71,1000,0.071
325,0.01,100,FALSE,197,1000,0.197
326,0.01,100,FALSE,21,1000,0.021
327,0.01,100,FALSE,86,1000,0.086
328,0.01,100,FALSE,108,1000,0.108
329,0.01,100,FALSE,97,1000,0.097
330,0.01,100,FALSE,59,1000,0.059
331,0.01,30,TRUE,73,1000,0.073
332,0.01,30,TRUE,61,1000,0.061
333,0.01,30,TRUE,108,1000,0.108
334,0.01,30,TRUE,226,1000,0.226
335,0.01,30,TRUE,114,1000,0.114
336,0.01,30,TRUE,122,1000,0.122
337,0.01,30,TRUE,90,1000,0.09
338,0.01,30,TRUE,111,1000,0.111
339,0.01,30,TRUE,97,1000,0.097
340,0.01,30,TRUE,39,1000,0.039
341,0.01,30,TRUE,83,1000,0.083
342,0.01,30,FALSE,76,1000,0.076
343,0.01,30,FALSE,93,1000,0.093
344,0.01,30,FALSE,337,1000,0.337
345,0.01,30,FALSE,132,1000,0.132
346,0.01,30,FALSE,66,1000,0.066
347,0.01,30,FALSE,23,1000,0.023
348,0.01,30,FALSE,0,1000,0
349,0.01,30,FALSE,115,1000,0.115
350,0.01,30,FALSE,113,1000,0.113
351,0.01,30,FALSE,91,1000,0.091
352,0.01,30,FALSE,78,1000,0.078
353,0.01,50,TRUE,62,1000,0.062
354,0.01,50,TRUE,76,1000,0.076
355,0.01,50,TRUE,121,1000,0.121
356,0.01,50,TRUE,129,1000,0.129
357,0.01,50,TRUE,116,1000,0.116
358,0.01,50,TRUE,107,1000,0.107
359,0.01,50,TRUE,216,1000,0.216
360,0.01,50,TRUE,205,1000,0.205
361,0.01,50,TRUE,131,1000,0.131
362,0.01,50,TRUE,79,1000,0.079
363,0.01,50,TRUE,62,1000,0.062
364,0.01,50,FALSE,72,1000,0.072
365,0.01,50,FALSE,80,1000,0.08
366,0.01,50,FALSE,65,1000,0.065
367,0.01,50,FALSE,118,1000,0.118
368,0.01,50,FALSE,106,1000,0.106
369,0.01,50,FALSE,43,1000,0.043
370,0.01,50,FALSE,43,1000,0.043
371,0.01,50,FALSE,361,1000,0.361
372,0.01,50,FALSE,61,1000,0.061
373,0.01,50,FALSE,78,1000,0.078
374,0.01,50,FALSE,55,1000,0.055
375,0.01,100,TRUE,46,1000,0.046
376,0.01,100,TRUE,29,1000,0.029
377,0.01,100,TRUE,129,1000,0.129
378,0.01,100,TRUE,118,1000,0.118
379,0.01,100,TRUE,120,1000,0.12
380,0.01,100,TRUE,352,1000,0.352
381,0.01,100,TRUE,92,1000,0.092
382,0.01,100,TRUE,153,1000,0.153
383,0.01,100,TRUE,433,1000,0.433
384,0.01,100,TRUE,64,1000,0.064
385,0.01,100,TRUE,64,1000,0.064
386,0.01,100,FALSE,78,1000,0.078
387,0.01,100,FALSE,104,1000,0.104
388,0.01,100,FALSE,516,1000,0.516
389,0.01,100,FALSE,123,1000,0.123
390,0.01,100,FALSE,30,1000,0.03
391,0.01,100,FALSE,112,1000,0.112
392,0.01,100,FALSE,246,1000,0.246
393,0.01,100,FALSE,133,1000,0.133
394,0.01,100,FALSE,113,1000,0.113
395,0.01,100,FALSE,208,1000,0.208
396,0.01,100,FALSE,63,1000,0.063
397,0.01,30,TRUE,61,1000,0.061
398,0.01,30,TRUE,78,1000,0.078
399,0.01,30,TRUE,99,1000,0.099
400,0.01,30,TRUE,107,1000,0.107
401,0.01,30,TRUE,557,1000,0.557
402,0.01,30,TRUE,78,1000,0.078
403,0.01,30,TRUE,131,1000,0.131
404,0.01,30,TRUE,107,1000,0.107
405,0.01,30,TRUE,96,1000,0.096
406,0.01,30,TRUE,77,1000,0.077
407,0.01,30,TRUE,78,1000,0.078
408,0.01,30,FALSE,63,1000,0.063
409,0.01,30,FALSE,39,1000,0.039
410,0.01,30,FALSE,388,1000,0.388
411,0.01,30,FALSE,478,1000,0.478
412,0.01,30,FALSE,123,1000,0.123
413,0.01,30,FALSE,53,1000,0.053
414,0.01,30,FALSE,135,1000,0.135
415,0.01,30,FALSE,106,1000,0.106
416,0.01,30,FALSE,191,1000,0.191
417,0.01,30,FALSE,73,1000,0.073
418,0.01,30,FALSE,92,1000,0.092
419,0.01,50,TRUE,54,1000,0.054
420,0.01,50,TRUE,121,1000,0.121
421,0.01,50,TRUE,90,1000,0.09
422,0.01,50,TRUE,110,1000,0.11
423,0.01,50,TRUE,209,1000,0.209
424,0.01,50,TRUE,46,1000,0.046
425,0.01,50,TRUE,116,1000,0.116
426,0.01,50,TRUE,115,1000,0.115
427,0.01,50,TRUE,393,1000,0.393
428,0.01,50,TRUE,108,1000,0.108
429,0.01,50,TRUE,66,1000,0.066
430,0.01,50,FALSE,67,1000,0.067
431,0.01,50,FALSE,823,1000,0.823
432,0.01,50,FALSE,94,1000,0.094
433,0.01,50,FALSE,122,1000,0.122
434,0.01,50,FALSE,116,1000,0.116
435,0.01,50,FALSE,356,1000,0.356
436,0.01,50,FALSE,136,1000,0.136
437,0.01,50,FALSE,91,1000,0.091
438,0.01,50,FALSE,562,1000,0.562
439,0.01,50,FALSE,77,1000,0.077
440,0.01,50,FALSE,52,1000,0.052
441,0.01,100,TRUE,54,1000,0.054
442,0.01,100,TRUE,73,1000,0.073
443,0.01,100,TRUE,216,1000,0.216
444,0.01,100,TRUE,95,1000,0.095
445,0.01,100,TRUE,641,1000,0.641
446,0.01,100,TRUE,96,1000,0.096
447,0.01,100,TRUE,58,1000,0.058
448,0.01,100,TRUE,417,1000,0.417
449,0.01,100,TRUE,104,1000,0.104
450,0.01,100,TRUE,102,1000,0.102
451,0.01,100,TRUE,53,1000,0.053
452,0.01,100,FALSE,51,1000,0.051
453,0.01,100,FALSE,144,1000,0.144
454,0.01,100,FALSE,82,1000,0.082
455,0.01,100,FALSE,116,1000,0.116
456,0.01,100,FALSE,219,1000,0.219
457,0.01,100,FALSE,38,1000,0.038
458,0.01,100,FALSE,382,1000,0.382
459,0.01,100,FALSE,112,1000,0.112
460,0.01,100,FALSE,98,1000,0.098
461,0.01,100,FALSE,83,1000,0.083
462,0.01,100,FALSE,125,1000,0.125
463,0.01,30,TRUE,57,1000,0.057
464,0.01,30,TRUE,222,1000,0.222
465,0.01,30,TRUE,124,1000,0.124
466,0.01,30,TRUE,262,1000,0.262
467,0.01,30,TRUE,29,1000,0.029
468,0.01,30,TRUE,454,1000,0.454
469,0.01,30,TRUE,148,1000,0.148
470,0.01,30,TRUE,140,1000,0.14
471,0.01,30,TRUE,100,1000,0.1
472,0.01,30,TRUE,72,1000,0.072
473,0.01,30,TRUE,52,1000,0.052
474,0.01,30,FALSE,71,1000,0.071
475,0.01,30,FALSE,74,1000,0.074
476,0.01,30,FALSE,397,1000,0.397
477,0.01,30,FALSE,453,1000,0.453
478,0.01,30,FALSE,153,1000,0.153
479,0.01,30,FALSE,127,1000,0.127
480,0.01,30,FALSE,138,1000,0.138
481,0.01,30,FALSE,106,1000,0.106
482,0.01,30,FALSE,80,1000,0.08
483,0.01,30,FALSE,74,1000,0.074
484,0.01,30,FALSE,52,1000,0.052
485,0.01,50,TRUE,71,1000,0.071
486,0.01,50,TRUE,207,1000,0.207
487,0.01,50,TRUE,355,1000,0.355
488,0.01,50,TRUE,81,1000,0.081
489,0.01,50,TRUE,11,1000,0.011
490,0.01,50,TRUE,39,1000,0.039
491,0.01,50,TRUE,136,1000,0.136
492,0.01,50,TRUE,869,1000,0.869
493,0.01,50,TRUE,84,1000,0.084
494,0.01,50,TRUE,73,1000,0.073
495,0.01,50,TRUE,67,1000,0.067
496,0.01,50,FALSE,58,1000,0.058
497,0.01,50,FALSE,93,1000,0.093
498,0.01,50,FALSE,96,1000,0.096
499,0.01,50,FALSE,111,1000,0.111
500,0.01,50,FALSE,350,1000,0.35
501,0.01,50,FALSE,164,1000,0.164
502,0.01,50,FALSE,13,1000,0.013
503,0.01,50,FALSE,117,1000,0.117
504,0.01,50,FALSE,64,1000,0.064
505,0.01,50,FALSE,90,1000,0.09
506,0.01,50,FALSE,66,1000,0.066
507,0.01,100,TRUE,57,1000,0.057
508,0.01,100,TRUE,91,1000,0.091
509,0.01,100,TRUE,59,1000,0.059
510,0.01,100,TRUE,117,1000,0.117
511,0.01,100,TRUE,160,1000,0.16
512,0.01,100,TRUE,54,1000,0.054
513,0.01,100,TRUE,113,1000,0.113
514,0.01,100,TRUE,654,1000,0.654
515,0.01,100,TRUE,100,1000,0.1
516,0.01,100,TRUE,110,1000,0.11
517,0.01,100,TRUE,44,1000,0.044
518,0.01,100,FALSE,74,1000,0.074
519,0.01,100,FALSE,77,1000,0.077
520,0.01,100,FALSE,124,1000,0.124
521,0.01,100,FALSE,101,1000,0.101
522,0.01,100,FALSE,114,1000,0.114
523,0.01,100,FALSE,91,1000,0.091
524,0.01,100,FALSE,118,1000,0.118
525,0.01,100,FALSE,394,1000,0.394
526,0.01,100,FALSE,39,1000,0.039
527,0.01,100,FALSE,115,1000,0.115
528,0.01,100,FALSE,58,1000,0.058
529,0.01,30,TRUE,55,1000,0.055
530,0.01,30,TRUE,137,1000,0.137
531,0.01,30,TRUE,111,1000,0.111
532,0.01,30,TRUE,93,1000,0.093
533,0.01,30,TRUE,48,1000,0.048
534,0.01,30,TRUE,823,1000,0.823
535,0.01,30,TRUE,80,1000,0.08
536,0.01,30,TRUE,40,1000,0.04
537,0.01,30,TRUE,49,1000,0.049
538,0.01,30,TRUE,72,1000,0.072
539,0.01,30,TRUE,55,1000,0.055
540,0.01,30,FALSE,56,1000,0.056
541,0.01,30,FALSE,208,1000,0.208
542,0.01,30,FALSE,96,1000,0.096
543,0.01,30,FALSE,102,1000,0.102
544,0.01,30,FALSE,99,1000,0.099
545,0.01,30,FALSE,125,1000,0.125
546,0.01,30,FALSE,104,1000,0.104
547,0.01,30,FALSE,0,1000,0
548,0.01,30,FALSE,401,1000,0.401
549,0.01,30,FALSE,79,1000,0.079
550,0.01,30,FALSE,51,1000,0.051
551,0.01,50,TRUE,51,1000,0.051
552,0.01,50,TRUE,88,1000,0.088
553,0.01,50,TRUE,208,1000,0.208
554,0.01,50,TRUE,35,1000,0.035
555,0.01,50,TRUE,98,1000,0.098
556,0.01,50,TRUE,130,1000,0.13
557,0.01,50,TRUE,69,1000,0.069
558,0.01,50,TRUE,51,1000,0.051
559,0.01,50,TRUE,97,1000,0.097
560,0.01,50,TRUE,84,1000,0.084
561,0.01,50,TRUE,45,1000,0.045
562,0.01,50,FALSE,51,1000,0.051
563,0.01,50,FALSE,95,1000,0.095
564,0.01,50,FALSE,124,1000,0.124
565,0.01,50,FALSE,83,1000,0.083
566,0.01,50,FALSE,3,1000,0.003
567,0.01,50,FALSE,129,1000,0.129
568,0.01,50,FALSE,137,1000,0.137
569,0.01,50,FALSE,160,1000,0.16
570,0.01,50,FALSE,115,1000,0.115
571,0.01,50,FALSE,75,1000,0.075
572,0.01,50,FALSE,96,1000,0.096
573,0.01,100,TRUE,74,1000,0.074
574,0.01,100,TRUE,78,1000,0.078
575,0.01,100,TRUE,81,1000,0.081
576,0.01,100,TRUE,104,1000,0.104
577,0.01,100,TRUE,88,1000,0.088
578,0.01,100,TRUE,96,1000,0.096
579,0.01,100,TRUE,131,1000,0.131
580,0.01,100,TRUE,117,1000,0.117
581,0.01,100,TRUE,98,1000,0.098
582,0.01,100,TRUE,73,1000,0.073
583,0.01,100,TRUE,64,1000,0.064
584,0.01,100,FALSE,50,1000,0.05
585,0.01,100,FALSE,134,1000,0.134
586,0.01,100,FALSE,131,1000,0.131
587,0.01,100,FALSE,83,1000,0.083
588,0.01,100,FALSE,403,1000,0.403
589,0.01,100,FALSE,83,1000,0.083
590,0.01,100,FALSE,212,1000,0.212
591,0.01,100,FALSE,105,1000,0.105
592,0.01,100,FALSE,115,1000,0.115
593,0.01,100,FALSE,80,1000,0.08
594,0.01,100,FALSE,48,1000,0.048
595,0.01,30,TRUE,59,1000,0.059
596,0.01,30,TRUE,71,1000,0.071
597,0.01,30,TRUE,86,1000,0.086
598,0.01,30,TRUE,112,1000,0.112
599,0.01,30,TRUE,122,1000,0.122
600,0.01,30,TRUE,101,1000,0.101
601,0.01,30,TRUE,11,1000,0.011
602,0.01,30,TRUE,94,1000,0.094
603,0.01,30,TRUE,82,1000,0.082
604,0.01,30,TRUE,102,1000,0.102
605,0.01,30,TRUE,52,1000,0.052
606,0.01,30,FALSE,545,1000,0.545
607,0.01,30,FALSE,77,1000,0.077
608,0.01,30,FALSE,92,1000,0.092
609,0.01,30,FALSE,91,1000,0.091
610,0.01,30,FALSE,92,1000,0.092
611,0.01,30,FALSE,101,1000,0.101
612,0.01,30,FALSE,0,1000,0
613,0.01,30,FALSE,203,1000,0.203
614,0.01,30,FALSE,127,1000,0.127
615,0.01,30,FALSE,74,1000,0.074
616,0.01,30,FALSE,58,1000,0.058
617,0.01,50,TRUE,64,1000,0.064
618,0.01,50,TRUE,89,1000,0.089
619,0.01,50,TRUE,119,1000,0.119
620,0.01,50,TRUE,102,1000,0.102
621,0.01,50,TRUE,147,1000,0.147
622,0.01,50,TRUE,86,1000,0.086
623,0.01,50,TRUE,203,1000,0.203
624,0.01,50,TRUE,121,1000,0.121
625,0.01,50,TRUE,94,1000,0.094
626,0.01,50,TRUE,33,1000,0.033
627,0.01,50,TRUE,46,1000,0.046
628,0.01,50,FALSE,53,1000,0.053
629,0.01,50,FALSE,86,1000,0.086
630,0.01,50,FALSE,170,1000,0.17
631,0.01,50,FALSE,111,1000,0.111
